token,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
movies,34.68,87.518,43.209,28.936,24.974,23.871,30.172,54.993
state,96.251,63.003,60.095,28.936,24.974,24.483,12.931,54.754
being,48.025,57.793,51.238,56.758,64.516,49.578,77.586,54.476
thoughts,29.117,57.911,56.288,40.065,52.029,45.293,12.931,54.396
never,66.554,56.608,53.639,51.75,64.516,40.397,86.207,54.357
way,57.361,58.029,54.88,48.411,35.38,46.517,73.276,54.357
fantasy,21.596,57.437,53.391,47.298,39.542,57.535,56.034,54.078
fuck,32.296,55.661,41.057,95.71,87.409,74.673,60.345,53.999
was,53.745,56.845,53.804,53.976,52.029,42.845,30.172,53.84
instagram,90.357,47.726,59.433,51.75,42.664,46.517,90.517,53.76
than,53.41,61.582,53.142,45.073,38.502,34.276,43.103,53.522
community,66.587,58.385,56.205,40.065,28.096,37.948,51.724,53.482
when,59.806,58.622,51.487,43.96,58.273,49.578,38.793,53.363
ffxiv,6.349,57.437,38.408,84.581,89.49,76.509,112.069,53.204
fun,72.841,68.688,44.12,52.306,53.07,34.276,77.586,52.965
over,56.753,50.332,58.026,45.073,38.502,39.785,86.207,52.846
really,28.981,53.174,50.493,61.21,47.867,56.31,94.828,52.846
since,65.817,50.687,59.599,29.492,29.136,49.578,64.655,52.687
animal,32.223,33.633,70.36,36.169,28.096,49.578,43.103,52.369
insta,40.813,38.607,57.281,58.984,60.354,74.673,38.793,52.209
call,37.993,48.91,41.802,100.161,75.963,68.552,125.0,52.17
better,57.176,66.319,48.258,29.492,47.867,34.276,43.103,52.011
bts,15.968,4.5,94.199,23.927,7.284,45.905,25.862,51.971
making,39.551,64.661,43.292,47.298,47.867,44.681,81.897,51.374
dogs,30.564,38.37,72.015,18.919,18.73,23.871,30.172,51.374
white,23.203,48.674,40.064,102.944,81.165,64.267,112.069,51.255
gaming,34.265,83.018,31.207,39.508,52.029,36.724,81.897,50.818
part,34.274,58.74,44.865,42.847,67.638,47.129,68.966,50.619
scientist,20.448,62.056,52.066,21.145,28.096,28.155,25.862,50.5
witch,7.545,11.369,64.648,72.339,57.232,113.845,77.586,50.341
learning,37.659,53.529,52.314,36.169,45.786,34.888,64.655,50.301
year,43.57,58.977,41.222,63.992,63.476,39.172,120.69,50.261
leftist,6.498,72.833,27.316,71.226,95.734,45.293,99.138,50.182
voice,23.825,72.951,32.448,46.186,86.368,44.681,51.724,50.062
occasional,13.911,63.122,40.974,56.202,45.786,40.397,86.207,50.062
name,36.315,54.003,43.457,65.661,59.313,46.517,103.448,49.943
u,64.892,43.581,52.811,59.54,44.745,55.086,38.793,49.903
//t,43.424,72.714,38.16,41.177,44.745,31.216,47.414,49.863
doing,30.526,51.161,48.424,52.863,47.867,50.802,56.034,49.863
taken,14.284,58.029,28.64,81.242,139.438,69.164,103.448,49.824
im,42.682,42.989,38.987,84.581,97.815,88.75,99.138,49.625
assistant,33.618,50.568,58.109,21.702,19.771,31.828,21.552,49.466
profile,16.365,70.583,31.786,66.218,64.516,37.948,90.517,49.466
woman,32.63,6.987,85.176,17.25,2.081,63.655,64.655,49.307
real,96.633,50.095,49.748,46.186,47.867,49.578,21.552,49.267
m,67.525,58.74,44.782,36.726,52.029,37.948,73.276,48.989
creative,36.048,50.45,49.583,47.298,44.745,40.397,30.172,48.75
comics,13.362,77.333,27.647,56.202,52.029,48.354,34.483,48.71
cosplayer,7.242,23.449,50.99,89.589,73.881,95.483,94.828,48.671
looking,57.429,66.556,36.421,51.75,65.557,29.379,64.655,48.551
heart,44.181,41.568,56.867,38.395,33.299,41.621,47.414,48.432
everything,60.592,48.792,49.417,47.855,39.542,47.129,25.862,48.352
boy,37.206,84.32,22.432,44.516,124.87,12.853,43.103,48.273
single,39.31,75.793,30.048,35.613,77.003,33.052,73.276,48.193
political,36.228,67.267,43.209,26.153,32.258,17.75,51.724,48.074
pop,21.757,48.081,54.632,31.161,29.136,29.379,34.483,47.955
space,24.837,51.871,41.719,61.766,53.07,51.414,51.724,47.716
16,23.647,51.042,37.829,60.653,100.937,54.474,73.276,47.716
kind,29.367,46.187,52.646,35.056,39.542,35.5,43.103,47.517
born,63.569,57.911,47.845,23.371,28.096,28.155,47.414,47.438
etc,21.552,54.832,43.457,38.395,43.704,45.905,64.655,47.279
b,41.555,45.476,45.113,56.758,56.191,56.31,34.483,47.12
cool,29.67,62.648,35.925,45.629,59.313,34.888,112.069,47.12
local,32.772,44.173,39.319,74.565,79.084,68.552,38.793,46.881
culture,30.84,48.2,54.632,22.258,19.771,24.483,43.103,46.762
4,86.428,43.226,52.894,40.065,26.015,37.336,34.483,46.523
made,39.973,55.424,39.153,43.96,58.273,44.069,73.276,46.324
board,21.421,71.885,39.319,19.476,16.649,17.75,12.931,46.324
funny,24.248,52.7,39.319,47.855,58.273,49.578,60.345,46.006
dev,12.262,74.254,26.406,45.629,61.394,29.379,64.655,45.728
most,53.025,57.556,40.643,39.508,42.664,27.543,60.345,45.648
activist,22.466,36.712,52.066,55.645,35.38,34.276,81.897,45.648
multi,14.372,17.764,63.158,47.855,39.542,61.819,34.483,45.569
words,17.641,40.502,55.708,25.597,22.893,32.44,12.931,45.291
read,23.149,40.028,50.411,43.403,43.704,34.888,51.724,45.171
how,46.198,46.305,45.858,45.629,34.339,37.948,34.483,44.933
liberal,28.5,46.66,56.039,11.685,12.487,11.629,25.862,44.893
progressive,18.769,63.477,41.636,16.694,22.893,8.569,34.483,44.257
see,52.757,46.423,42.878,41.177,42.664,39.785,68.966,43.978
prof,13.151,45.595,53.887,9.46,15.609,17.75,30.172,43.899
comic,14.767,70.938,24.253,47.855,60.354,36.112,34.483,43.859
age,15.595,47.608,34.186,57.871,82.206,47.129,116.379,43.819
data,28.079,68.451,34.104,21.145,23.933,25.095,34.483,43.74
disabled,10.5,22.264,39.898,128.54,70.76,71.612,60.345,43.74
back,65.661,47.134,42.547,43.403,34.339,40.397,25.862,43.541
us,106.312,53.648,40.312,34.5,30.177,31.216,47.414,43.461
youtube,60.693,69.991,27.978,32.274,47.867,30.604,43.103,43.461
31,12.469,45.476,34.849,64.548,57.232,58.759,90.517,43.461
obsessed,14.699,28.304,55.377,39.508,33.299,42.845,47.414,43.422
it's,41.492,53.766,37.498,39.508,42.664,34.888,51.724,43.263
self,34.302,43.226,42.464,46.742,46.826,42.233,51.724,43.263
senior,24.784,60.043,41.719,12.798,16.649,18.974,21.552,43.183
research,34.406,47.608,50.659,15.581,17.69,13.466,17.241,43.143
cancer,24.351,24.041,57.033,31.718,27.055,58.147,21.552,42.746
tired,11.938,33.16,42.133,76.234,48.907,49.578,60.345,42.467
addict,21.834,44.292,47.017,25.597,31.217,26.931,21.552,42.428
something,28.639,45.239,38.987,46.742,48.907,40.397,43.103,42.149
major,18.791,46.423,34.021,50.081,71.8,53.25,43.103,42.11
support,42.155,46.897,38.491,45.629,45.786,34.888,60.345,42.07
stream,21.794,56.135,28.227,38.952,68.678,52.026,77.586,41.911
discord,19.708,67.74,18.707,46.186,75.963,44.069,103.448,41.752
graphic,21.91,46.779,38.408,37.839,49.948,37.948,51.724,41.712
friendly,19.043,48.555,31.869,58.984,66.597,37.948,77.586,41.553
forever,31.02,34.107,49.748,38.395,33.299,25.095,38.793,41.354
bitch,22.064,16.461,51.983,59.54,31.217,75.285,56.034,41.354
based,43.037,48.437,38.739,36.169,33.299,31.828,51.724,41.274
master,24.386,63.122,27.068,42.29,49.948,28.155,34.483,41.274
first,64.833,40.147,45.775,28.379,24.974,37.948,25.862,41.155
army,40.794,22.146,63.655,18.919,7.284,20.198,21.552,41.155
enjoyer,9.174,65.017,19.701,48.411,84.287,40.397,38.793,40.956
