bio_count,he/him,she/her,they/them,she/they,he/they,us_day_YYYY_MM_DD
247788,16.54640256993882,47.621353737872695,11.703553037273798,5.649991121442524,4.035707943887517,2019_01_28
251916,12.702646914050716,35.72619444576764,11.114816049794376,5.160450308833103,1.5878308642563395,2019_01_29
262433,11.050439540758974,43.82070852369938,11.050439540758974,4.572595672038196,1.9052481966825818,2019_01_30
255409,12.137395314965408,43.851234686326634,10.179750909325826,7.047519860302495,2.7407021678954147,2019_01_31
241981,7.438600551282952,47.9376479971568,11.157900826924427,4.959067034188634,3.30604468945909,2019_02_01
225920,16.820113314447593,42.05028328611898,14.164305949008499,5.311614730878187,4.426345609065156,2019_02_02
272109,11.759993238003888,48.14247231807842,12.127493026691509,6.9824959850648085,1.469999154750486,2019_02_03
246296,15.022574463247475,36.135381817000685,7.714294994640595,6.090232890505733,1.2180465781011467,2019_02_04
265309,10.176812697646895,36.18422292496674,12.815245619259052,5.653784832026052,1.8845949440086842,2019_02_05
256798,9.735278312136387,42.835224573400104,13.239978504505487,6.6199892522527435,1.557644529941822,2019_02_06
241355,14.087133061258312,41.432744297818566,12.015495846367385,7.457893973607342,3.728946986803671,2019_02_07
237634,13.466086502773171,42.08152032116616,13.466086502773171,7.574673657809909,3.366521625693293,2019_02_08
218828,11.424497779077631,53.923629517246425,14.623357157219369,5.940738845120369,2.7418794669786317,2019_02_09
242278,14.44621467900511,44.16414201867276,11.556971743204087,7.016732844088196,2.063744954143587,2019_02_10
247911,14.52134031971151,42.35390926582524,11.294375804220063,5.647187902110032,3.6303350799278773,2019_02_11
252622,13.062995305238656,40.77237928604793,12.271298620072677,4.3543317684128855,3.166786740663917,2019_02_12
250575,15.56420233463035,44.29811433702484,11.57338122318667,5.986231667165519,1.1972463334331038,2019_02_13
249825,16.011207845491846,41.2288602021415,14.009806864805364,6.804763334334034,4.0028019613729615,2019_02_14
234664,17.897930658302936,49.006238707258035,11.931953772201958,3.835270855350629,2.556847236900419,2019_02_15
216265,12.022287471389268,43.00279749381546,13.871870159295309,8.785517767553696,5.086352391741613,2019_02_16
228270,14.456564594559074,42.93161606869059,12.70425373461252,7.885398869759495,3.0665440049064703,2019_02_17
239201,11.705636682120895,44.31419601088624,10.451461323322228,5.8528183410604475,1.6722338117315563,2019_02_18
249885,15.206995217800188,41.61914480661104,11.205154371010664,7.203313524221142,2.0009204233947617,2019_02_19
256015,12.108665507880398,39.45081342890065,12.108665507880398,4.6872253578891865,3.1248169052594577,2019_02_20
252638,9.895581820628726,45.12385310206699,14.249637821705365,6.728995638027533,2.7707629097760433,2019_02_21
242491,14.021138928867463,49.07398625103612,12.783979611614452,5.361023708096383,2.88670507359036,2019_02_22
224105,15.171459806786997,44.62194060819705,15.617679212868968,5.800852279065617,3.1235358425737934,2019_02_23
241042,14.93515652873773,62.644684328872145,16.179752906132542,7.882443723500469,2.904058213921225,2019_02_24
246151,13.406405011557947,43.46925261323334,13.812659708877884,6.500075157119004,2.8437828812395645,2019_02_25
251925,9.92358836955443,43.66378882603949,14.28996725215838,7.14498362607919,2.3816612086930635,2019_02_26
267230,13.097331886390002,43.03409048385286,11.226284474048573,5.238932754556,3.3678853422145716,2019_02_27
256474,13.646607453387087,56.14604209393545,12.86680131319354,6.628352191645157,2.339418420580644,2019_02_28
242743,11.946791462575646,49.02304082918972,11.122874809984221,4.943499915548543,3.707624936661407,2019_03_01
219785,14.104693222922402,45.954000500489116,10.46477239120049,8.189821871374297,2.7299406237914323,2019_03_02
225872,11.510944251611532,55.341078132747754,12.839130126797478,7.526386626053694,3.099100375433874,2019_03_03
247173,8.496073600271874,44.50324266809077,12.137248000388391,7.686923733579315,2.4274496000776784,2019_03_04
249739,12.412959129331021,43.24514793444356,6.80710661931056,5.605852510020461,1.2012541092900988,2019_03_05
251870,9.131694921983563,43.276293325922104,7.543574065986421,7.146543851987136,1.9851510699964268,2019_03_06
237651,12.202767924393333,47.96950149589103,9.678057319346436,6.311776512617241,2.5247106050468964,2019_03_07
243624,15.187337864906578,47.20388795849342,12.31405772830263,8.209371818868421,3.2837487275473682,2019_03_08
218965,14.157513757906514,46.126093211243806,10.04726782819172,6.850409882857991,1.826775968762131,2019_03_09
221242,12.655824843384167,51.527286862349825,9.491868632538125,4.971931188472351,3.1639562108460417,2019_03_10
247124,11.33034428060407,41.67948074650783,8.90241336333177,5.260516987423318,2.4279309172723007,2019_03_11
260277,10.373563549602924,39.95742996884089,11.526181721781025,4.994678746105111,2.305236344356205,2019_03_12
275593,11.974179315149515,37.37395362001212,9.797055803304147,3.2656852677680495,3.2656852677680495,2019_03_13
