trigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
i have a,12.196,1.559,1.402,1.465,-1.061,1.108,1.075,1.42
creator of the,2.619,2.314,-1.168,1.279,1.197,1.407,0.0,1.417
a work in,1.183,1.306,1.685,1.417,-1.132,-1.927,0.0,1.417
to talk to,1.58,1.956,1.051,3.535,0.0,0.0,0.0,1.414
and a little,1.355,1.228,1.593,-1.213,-1.297,2.266,0.0,1.413
for me to,1.163,1.124,1.428,1.921,1.796,1.056,7.516,1.407
of all things,10.814,1.506,1.566,-1.139,-1.035,-1.467,-2.474,1.406
in front of,1.506,1.657,1.323,1.855,-1.441,-1.226,0.0,1.404
and trying to,1.622,1.539,1.433,1.033,1.932,-2.642,2.695,1.402
like to play,1.451,2.048,1.259,-2.596,-1.389,-1.182,0.0,1.402
trades master of,1.339,2.219,-1.076,1.668,-1.281,-1.09,0.0,1.4
happy to be,1.684,-1.181,1.726,-1.005,3.102,1.459,0.0,1.398
welcome to my,7.652,1.196,1.421,1.971,1.775,1.364,1.714,1.397
and all the,1.172,1.318,1.488,-1.049,1.782,1.048,3.73,1.396
world a better,2.718,1.705,1.436,-1.622,1.153,-1.475,0.0,1.394
trying to keep,1.177,1.212,1.834,0.0,1.775,-1.917,0.0,1.39
- - -,1.148,1.139,-1.064,2.919,2.73,3.21,3.807,1.39
in my spare,1.062,1.679,1.25,2.104,0.0,-1.73,4.116,1.39
i like my,1.207,1.575,1.238,1.851,1.731,1.017,0.0,1.389
like to be,1.207,1.477,1.307,-2.159,-1.155,2.544,3.621,1.389
i do not,4.551,1.436,1.186,1.595,3.213,1.215,1.921,1.385
don't follow me,1.449,1.886,1.031,1.157,-1.387,1.696,3.017,1.377
on http //twitch,1.249,2.094,-1.505,3.131,0.0,1.476,3.5,1.374
just here to,9.046,1.117,1.441,1.667,1.963,1.562,-1.035,1.372
i think i,1.254,-1.056,1.788,-1.123,1.666,-1.021,0.0,1.368
here to learn,1.08,1.21,1.845,0.0,-1.033,-1.759,0.0,1.367
not to be,1.695,1.262,1.176,1.648,3.081,2.174,0.0,1.365
listen to my,1.231,1.931,-1.348,1.361,3.394,1.996,0.0,1.361
my name is,13.345,1.469,-1.011,2.26,1.8,1.887,4.258,1.36
i'm just a,5.694,1.753,1.006,1.373,2.201,1.187,3.07,1.359
trying to live,3.148,1.208,1.583,1.952,-1.507,-2.564,0.0,1.356
living in a,2.917,-1.023,1.622,1.532,1.074,1.263,1.498,1.354
what to do,1.214,1.958,-1.045,-2.172,0.0,2.53,3.6,1.348
want to make,1.304,2.005,-1.209,1.285,1.602,1.884,0.0,1.347
just a girl,3.75,-15.756,2.524,0.0,0.0,1.474,1.166,1.341
my own retweets,1.37,1.648,1.394,-2.451,-1.311,-2.231,3.191,1.339
to be better,1.401,2.121,-1.055,0.0,3.728,-2.282,0.0,1.338
on twitch http,1.074,2.213,-1.294,1.561,1.945,-1.749,0.0,1.337
fall in love,1.076,-1.811,1.698,1.558,1.941,1.713,4.062,1.335
is out now,1.974,1.384,1.472,1.132,1.588,0.0,2.214,1.334
i have the,1.734,1.302,1.341,-1.552,1.807,1.417,5.041,1.334
a girl who,1.563,-3.291,2.337,0.0,-1.496,1.179,0.0,1.328
the things i,1.115,1.386,1.265,1.002,-1.067,1.653,3.92,1.324
i feel like,1.633,1.528,1.22,-1.462,3.838,-2.66,0.0,1.32
out of my,1.605,1.111,1.604,-2.871,1.302,1.148,2.723,1.318
in the south,1.306,1.092,1.78,-2.336,0.0,-2.127,3.347,1.314
jack of all,2.977,1.956,-1.559,3.002,1.754,1.032,0.0,1.313
i want to,8.544,1.28,1.351,1.177,-1.022,1.438,2.046,1.312
to be a,14.978,1.611,1.181,1.081,1.116,1.025,1.459,1.308
