trigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
real estate needs,696,0,0,0,0,0,0,0
live my life,692,4,8,0,2,0,0,14
positive vibes only,692,2,9,0,0,0,0,11
a love for,691,19,17,5,3,3,1,48
i like sports,691,5,4,1,1,1,0,12
family friends and,690,0,2,0,0,0,0,2
lot of things,689,32,39,10,4,6,2,93
to the love,689,9,10,3,0,0,0,22
when it comes,689,4,5,1,1,0,0,11
the way you,688,3,11,1,0,1,0,16
the home of,688,2,1,1,0,0,0,4
to get a,687,15,13,1,3,2,0,34
new to this,687,11,6,1,3,0,0,21
man with a,687,16,1,1,0,0,0,18
where you can,687,2,8,0,0,0,0,10
i live for,686,9,18,6,0,1,0,34
i don’t care,686,7,14,0,0,1,2,24
the way i,686,9,11,1,1,1,0,23
have a great,686,9,6,3,2,0,1,21
love god my,686,0,1,0,0,1,0,2
i need a,685,16,17,3,1,3,0,40
of the universe,685,10,12,1,2,2,0,27
everything in between,685,7,5,0,0,0,0,12
at this point,684,15,38,9,4,7,0,73
don’t follow me,684,12,17,1,0,2,0,32
don't have to,684,9,10,2,2,2,0,25
is to help,684,0,1,0,0,0,0,1
i think i,683,10,27,2,2,2,0,43
on the beach,683,10,7,5,1,3,0,26
18 only nsfw,682,51,22,11,3,7,1,95
i just like,682,27,22,3,3,5,2,62
back to the,682,7,10,0,0,0,0,17
https //m youtube,682,5,2,0,1,0,0,8
currently working on,681,45,17,11,1,4,0,78
to a wonderful,681,8,5,0,0,0,0,13
on the planet,681,4,6,0,0,0,1,11
on http //twitch,680,22,10,7,0,3,1,43
on twitch and,680,17,10,5,1,2,1,36
in san diego,680,7,1,0,1,1,0,10
i make art,679,39,68,28,20,26,4,185
also known as,679,17,25,3,0,9,0,54
years old and,679,14,11,2,1,2,1,31
to be in,679,8,12,3,1,3,0,27
and content creator,678,27,10,3,1,5,0,46
breast cancer survivor,678,0,33,0,0,1,0,34
i don’t have,678,11,14,6,1,1,0,33
a child of,678,4,3,0,0,3,0,10
our goal is,678,0,0,0,0,0,0,0
high school baseball,678,0,0,0,0,0,0,0
to follow me,677,12,7,2,0,2,0,23
blessed to be,677,0,1,0,0,0,0,1
of christ husband,677,0,0,0,0,0,0,0
my own rts,676,23,27,2,1,1,0,54
till i die,676,10,8,1,2,2,1,24
on the way,676,5,9,0,1,2,0,17
father of four,676,11,0,0,0,0,0,11
all views my,675,41,91,6,4,4,1,147
and other things,675,43,35,4,7,2,1,92
just a little,675,21,32,5,9,7,0,74
formerly known as,675,21,17,7,6,4,1,56
i don't care,675,15,13,2,1,1,2,34
voice of the,675,3,2,0,1,0,0,6
you don't have,674,6,10,2,2,1,0,21
over 20 years,674,2,1,0,0,0,0,3
and a good,673,6,13,1,2,2,0,24
believe in god,673,2,2,0,0,0,0,4
organization dedicated to,673,0,0,0,0,0,0,0
from around the,672,1,2,0,0,0,0,3
high school c/o,671,0,0,0,0,0,0,0
listen to my,670,20,11,3,4,4,0,42
years in the,670,5,2,1,0,0,0,8
bit of a,669,33,28,6,5,2,0,74
all trades master,669,23,14,4,1,2,0,44
to find my,669,14,15,3,3,4,0,39
up and coming,669,14,3,2,0,4,0,23
married father of,669,11,0,0,0,0,0,11
like to make,668,26,24,5,1,5,0,61
on the road,668,1,7,3,1,0,0,12
of your life,667,8,11,0,0,1,0,20
just looking for,666,8,3,2,0,0,0,13
university of south,665,4,9,0,1,0,0,14
a world of,664,10,10,3,0,2,0,25
what you love,664,9,15,0,0,0,0,24
to find the,664,8,13,2,0,1,0,24
in the morning,664,9,8,0,1,0,0,18
student of the,664,7,5,0,0,1,0,13
girl with a,663,0,42,1,0,7,0,50
are my life,663,12,13,1,0,1,2,29
a place to,662,12,10,2,0,3,0,27
love the outdoors,662,3,3,0,0,0,0,6
de la vida,662,0,1,0,0,0,0,1
have a lot,661,19,44,4,1,2,0,70
what to do,661,20,14,1,0,5,1,41
but i love,661,12,19,4,1,0,1,37
a k a,661,24,8,0,1,2,1,36
please do not,660,27,51,16,6,11,2,113
i care about,659,18,26,5,4,3,0,56
for fun and,659,19,16,1,1,0,0,37
is my only,659,7,12,2,1,4,0,26
the future is,659,8,9,0,1,2,0,20
we are here,659,2,1,1,0,0,0,4
live love laugh,659,1,0,0,0,0,0,1
ph d student,658,20,37,5,1,3,0,66
nice to meet,658,29,22,2,4,5,2,64
new to the,658,9,8,1,0,2,0,20
son of a,658,15,2,1,0,0,0,18
i like my,657,16,18,4,2,2,0,42
