token,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
pan,7.918,62.511,51.808,135.716,185.94,153.544,201.049,74.49
currently,29.479,79.03,71.734,78.749,66.855,69.402,74.301,74.37
into,50.382,87.468,64.262,69.254,72.078,67.559,109.266,73.333
business,113.049,93.291,64.511,58.084,58.498,62.646,56.818,73.293
hi,35.666,58.946,68.579,112.818,105.505,96.426,170.455,72.655
musician,34.649,112.306,39.603,87.685,111.773,66.945,78.671,72.335
we,185.416,74.039,76.051,59.76,52.23,49.134,139.86,72.136
commissions,11.217,55.143,56.374,158.056,129.531,141.26,91.783,71.857
horror,20.404,77.485,61.605,87.685,81.479,79.843,87.413,70.979
media,61.271,75.94,71.319,54.175,63.721,60.189,56.818,70.5
producer,55.422,93.172,59.778,60.877,68.944,42.992,43.706,70.181
lesbian,8.563,2.852,88.754,144.094,37.606,202.678,161.713,69.981
likes,27.161,95.787,48.404,77.632,113.862,55.89,100.524,69.862
rights,27.513,75.465,69.077,61.435,63.721,53.433,96.154,69.702
free,79.42,68.929,63.431,89.919,94.014,78.614,78.671,69.463
probably,22.222,70.83,68.33,59.201,72.078,76.772,52.448,69.064
manager,47.948,82.833,71.153,40.212,36.561,37.465,34.965,69.024
justice,31.648,58.233,84.603,51.941,40.74,47.291,48.077,68.984
little,41.32,61.798,72.315,69.254,83.568,60.189,78.671,68.266
ally,11.408,76.059,83.275,7.261,13.58,12.284,30.594,67.667
live,110.717,69.879,70.157,70.93,58.498,41.15,43.706,67.548
write,24.656,70.711,65.756,70.371,58.498,60.803,48.077,66.989
grad,38.427,63.937,78.044,34.627,49.096,45.449,56.818,66.79
bad,30.959,86.993,53.551,63.111,69.989,56.504,69.93,66.43
1,95.665,71.781,65.175,53.616,66.855,63.26,26.224,66.151
father,159.238,183.493,2.74,8.936,37.606,2.457,30.594,65.433
very,33.679,73.088,57.205,80.424,84.613,57.732,74.301,65.433
much,39.239,72.732,61.688,67.579,62.676,55.89,48.077,65.353
professor,34.241,77.723,73.062,19.548,20.892,27.638,13.112,65.313
draw,12.98,59.659,51.642,116.169,115.951,93.969,144.231,64.994
food,51.908,69.761,72.896,31.835,28.204,33.78,78.671,64.715
educator,39.871,52.41,82.61,42.446,33.427,39.921,30.594,64.475
podcast,53.286,94.599,51.808,39.095,35.517,31.937,91.783,63.717
tv,38.866,60.372,78.542,31.835,24.026,31.937,30.594,63.558
illustrator,12.054,46.467,60.609,104.999,79.39,113.622,96.154,63.518
tweet,41.865,75.821,59.114,52.499,57.453,48.52,52.448,63.438
adhd,7.336,53.717,55.295,94.946,92.97,113.008,87.413,63.079
working,50.764,82.714,57.122,45.239,48.052,33.165,61.189,62.999
header,8.063,59.54,47.657,113.935,145.2,78.614,126.748,62.84
design,35.969,81.169,53.884,46.914,61.632,47.906,69.93,62.6
man,81.065,127.756,20.175,47.473,96.104,29.48,104.895,62.52
public,47.792,56.212,78.127,35.186,25.071,30.095,39.336,62.201
university,96.804,73.088,66.171,32.393,24.026,33.165,34.965,62.042
history,39.821,71.781,64.511,36.303,38.65,30.709,61.189,61.722
dni,7.94,54.786,40.433,131.807,152.512,119.15,83.042,61.563
talk,38.049,67.146,56.208,68.137,67.899,60.189,52.448,61.403
personal,39.885,64.413,58.201,68.696,67.899,50.977,83.042,61.164
shit,42.772,65.007,50.895,93.27,79.39,68.173,78.671,61.124
mother,73.206,5.11,113.745,17.314,7.312,36.236,17.483,60.406
years,72.112,77.961,44.419,62.552,74.167,50.977,222.902,60.166
lgbtq,14.405,62.749,58.699,61.435,53.275,52.205,78.671,59.807
school,114.019,54.668,74.059,27.367,32.383,29.48,34.965,59.368
want,62.179,64.769,55.876,55.292,51.186,62.646,74.301,59.249
autistic,7.495,55.618,34.622,154.705,132.665,90.898,157.343,58.77
17,22.968,60.491,50.479,64.228,95.059,78.614,65.559,58.491
formerly,21.186,78.555,54.797,31.835,48.052,18.425,48.077,58.451
//twitch,33.562,96.381,29.474,65.345,91.925,44.835,87.413,58.411
host,43.772,89.964,43.588,41.329,38.65,34.394,39.336,58.172
future,50.384,60.847,60.193,43.563,43.873,49.748,78.671,58.092
star,25.741,81.645,48.736,31.835,43.873,39.921,61.189,57.932
pansexual,7.63,46.349,39.188,124.546,113.862,115.465,244.755,57.374
s,85.389,54.905,65.175,43.563,45.963,33.165,56.818,57.294
candidate,17.891,54.905,68.413,27.367,33.427,38.693,21.853,57.254
developer,26.722,115.515,26.07,35.186,50.141,17.811,30.594,57.174
3,101.759,58.589,57.869,43.005,64.765,40.536,100.524,56.576
amateur,23.77,84.378,42.177,46.914,42.829,35.008,61.189,56.416
many,31.247,60.61,55.627,55.85,41.784,44.835,65.559,56.177
friends,50.437,64.056,48.902,54.175,72.078,55.276,78.671,55.937
film,28.852,80.1,45.83,29.042,51.186,43.606,17.483,55.937
still,39.619,56.807,56.208,58.084,49.096,46.677,56.818,55.658
freelance,18.657,51.815,56.208,61.994,71.033,57.118,30.594,55.538
friend,39.556,57.401,54.465,46.914,53.275,55.276,61.189,54.98
college,64.043,64.413,53.302,42.446,54.319,32.551,43.706,54.86
movies,34.502,86.993,43.09,29.042,25.071,23.953,30.594,54.78
thoughts,29.041,57.757,56.457,40.212,51.186,45.449,13.112,54.421
way,56.952,57.757,54.465,48.031,35.517,46.677,74.301,54.062
state,92.752,61.679,59.861,26.808,24.026,24.567,8.741,53.982
fuck,32.156,55.499,40.765,95.504,87.747,74.929,61.189,53.823
was,53.679,56.688,53.8,54.175,52.23,42.378,30.594,53.783
never,66.019,55.737,53.053,51.941,61.632,40.536,87.413,53.703
than,53.326,61.323,53.136,44.68,37.606,34.394,43.706,53.384
being,46.216,56.688,50.064,56.409,63.721,47.906,78.671,53.384
fantasy,21.392,56.926,52.804,45.797,39.695,57.118,43.706,53.384
when,59.743,58.233,51.559,43.563,58.498,49.748,39.336,53.264
instagram,87.777,47.418,58.533,51.941,42.829,45.449,91.783,53.184
maker,19.1,57.995,47.574,63.111,62.676,54.047,48.077,53.184
owner,72.255,58.589,52.887,43.563,44.918,40.536,43.706,52.945
since,65.757,50.746,59.778,29.601,29.249,49.748,65.559,52.825
really,28.942,53.123,50.479,61.435,48.052,55.89,96.154,52.825
post,26.814,62.749,38.441,78.19,86.702,56.504,65.559,52.705
community,65.073,57.401,55.129,39.654,27.16,37.465,52.448,52.546
ffxiv,6.241,56.688,38.109,82.1,87.747,75.544,113.636,52.506
call,37.784,48.963,41.596,100.531,75.212,68.788,126.748,52.107
fun,71.941,67.503,43.256,50.824,52.23,31.323,74.301,51.788
better,57.031,66.076,47.989,28.484,45.963,34.394,43.706,51.668
